event_id,blob_id,time_idx,date,type,n_cells,area_km2,centroid_lat,centroid_lon,min_lat,max_lat,min_lon,max_lon,mean_anomaly_mm,max_magnitude_mm,total_anomaly_mm
EVT-2020-071,B00102,3,2020-09-30,dry,128,91786.17953511652,22.030187710650832,87.50947837692958,20.5,24.0,84.5,90.0,-111.07196044921875,-271.4044494628906,-14217.2109375
EVT-2020-050,B00089,3,2020-09-30,wet,131,82049.79899986733,36.03073743106853,73.62879711688747,35.0,37.0,71.0,77.0,45.55851364135742,169.0801239013672,5968.1650390625
EVT-2020-022,B00093,3,2020-09-30,wet,115,79710.93521895286,26.591735015891718,95.6663181142152,24.0,28.0,93.0,98.0,180.49363708496094,594.0507202148438,20756.767578125
EVT-2020-057,B00090,3,2020-09-30,wet,103,66080.81410016255,33.962300731177415,95.01916986007069,33.0,34.75,92.25,97.75,23.226133346557617,41.759185791015625,2392.291748046875
EVT-2020-037,B00103,3,2020-09-30,dry,90,64526.32894107877,22.131356263141797,95.24224756064007,20.5,23.75,94.25,96.75,-65.62415313720703,-130.27731323242188,-5906.173828125
EVT-2020-030,B00105,3,2020-09-30,dry,40,29060.06247909338,20.32632203947004,96.8894733534495,18.75,21.5,96.25,98.0,-70.2441177368164,-175.32461547851562,-2809.7646484375
EVT-2020-072,B00098,3,2020-09-30,wet,32,24434.370572116713,9.654376835791593,68.70686540135667,9.0,10.25,68.0,69.5,76.32273864746094,88.67900085449219,2442.32763671875
EVT-2020-073,B00101,3,2020-09-30,dry,22,15632.061075247038,23.46793617805619,92.89269971980313,22.5,24.25,92.5,93.25,-84.65796661376953,-134.80581665039062,-1862.4752197265625
EVT-2020-074,B00088,3,2020-09-30,wet,22,13668.683554582227,36.607827186252756,68.49400060104989,36.0,37.0,68.0,69.5,4.318764686584473,7.713000297546387,95.01282501220703
EVT-2020-064,B00095,3,2020-09-30,wet,16,11218.074311600718,25.222773664282037,91.34387201143836,24.5,25.5,90.25,92.0,194.4653778076172,323.5265197753906,3111.446044921875
EVT-2020-066,B00091,3,2020-09-30,wet,16,10909.66036389397,28.269940258979286,83.91645402480253,28.0,28.75,82.75,85.25,153.57740783691406,352.79278564453125,2457.238525390625
EVT-2020-075,B00099,3,2020-09-30,wet,12,9234.937626365478,6.494730435553119,68.60534094718267,6.0,7.25,68.0,69.25,35.646297454833984,42.79472351074219,427.75555419921875
EVT-2020-055,B00096,3,2020-09-30,wet,11,7922.951279711848,21.586085084257935,97.7092535233798,21.0,22.0,97.25,98.0,64.50801086425781,98.79095458984375,709.588134765625
EVT-2020-076,B00094,3,2020-09-30,wet,11,7566.2466765060035,27.402732687713975,84.26697836091327,27.0,27.75,84.0,84.75,153.09153747558594,190.16201782226562,1684.0068359375
EVT-2020-077,B00106,3,2020-09-30,dry,10,7258.042543159561,20.45397159128698,82.74201109629867,20.0,21.0,82.25,83.0,-104.4468765258789,-123.31454467773438,-1044.46875
EVT-2021-078,B00135,12,2021-06-30,dry,1080,823594.7778749813,9.734624597979352,89.49297831028282,6.0,14.75,83.5,96.0,-74.78553009033203,-136.98577880859375,-80768.375
EVT-2021-079,B00136,12,2021-06-30,dry,853,651733.1784357735,9.701631659552493,72.06105102186697,6.0,13.5,68.0,77.0,-97.06063842773438,-183.35690307617188,-82792.7265625
EVT-2021-080,B00119,12,2021-06-30,wet,497,359546.2861932657,20.814404300231992,92.5702333999383,17.25,24.25,86.75,98.0,145.59828186035156,389.34893798828125,72362.34375
EVT-2021-081,B00133,12,2021-06-30,dry,279,206541.5387929196,17.21318774803238,70.07409762796614,14.0,19.5,68.0,72.75,-174.57669067382812,-334.3146667480469,-48706.8984375
EVT-2021-082,B00116,12,2021-06-30,wet,207,139373.86502725023,29.341073276836966,80.91437633082556,27.5,31.25,78.25,84.75,90.02745819091797,293.8710021972656,18635.68359375
EVT-2021-083,B00110,12,2021-06-30,wet,192,120049.01620951763,36.06140989767002,92.71715390872623,35.0,37.0,89.0,97.5,26.433324813842773,48.69477081298828,5075.1982421875
EVT-2021-084,B00118,12,2021-06-30,wet,152,106882.20035916411,24.81097684118293,83.89475676984704,23.25,27.25,81.5,85.5,115.0167465209961,227.3670654296875,17482.544921875
EVT-2021-085,B00130,12,2021-06-30,dry,102,71501.76135809864,25.60826067663208,96.45793623766163,23.25,27.75,94.75,97.75,-153.89198303222656,-437.6729736328125,-15696.982421875
EVT-2021-086,B00129,12,2021-06-30,dry,92,63673.12810366727,26.733892839878237,90.97581827763996,25.25,27.75,88.25,94.25,-207.6359405517578,-407.091796875,-19102.505859375
EVT-2021-087,B00138,12,2021-06-30,dry,76,58312.53252977728,7.968413398297884,97.18400860713581,6.0,9.25,96.25,98.0,-53.812156677246094,-86.49636840820312,-4089.723876953125
EVT-2021-088,B00114,12,2021-06-30,wet,83,53857.17636429622,32.99785559464124,87.02868906850979,32.0,34.5,85.0,89.25,24.123876571655273,50.53742218017578,2002.28173828125
EVT-2021-089,B00137,12,2021-06-30,dry,55,41621.61635304811,12.275527945420343,78.44754162574957,10.75,13.5,77.0,80.0,-44.09605026245117,-71.96871948242188,-2425.28271484375
EVT-2021-090,B00122,12,2021-06-30,dry,46,28636.585649459852,36.448171019052495,70.40800263326334,35.5,37.0,69.0,71.5,-23.801912307739258,-57.140037536621094,-1094.887939453125
EVT-2021-091,B00126,12,2021-06-30,dry,44,28572.625809005785,32.97632529651701,93.02371683789706,32.5,34.0,91.0,94.75,-36.150760650634766,-50.71068572998047,-1590.633544921875
EVT-2021-092,B00131,12,2021-06-30,dry,30,21038.715118864977,25.194731720122935,92.51960740949998,24.25,26.0,91.25,93.5,-91.4023208618164,-171.8096466064453,-2742.069580078125
EVT-2021-093,B00121,12,2021-06-30,wet,20,14898.933362489743,15.855138836970065,97.75021845071875,15.0,16.75,97.25,98.0,208.4342498779297,271.64862060546875,4168.68505859375
EVT-2021-094,B00134,12,2021-06-30,dry,17,12653.710958552152,16.04312182600652,82.21241398432458,15.75,16.5,81.25,83.0,-60.24317169189453,-78.4044189453125,-1024.1339111328125
EVT-2021-095,B00111,12,2021-06-30,wet,20,12622.424804454191,35.41822888405099,84.73228316373816,35.0,36.0,84.0,85.75,17.920124053955078,22.678367614746094,358.4024658203125
EVT-2021-096,B00128,12,2021-06-30,dry,18,12294.885385298263,28.162764603012516,95.03340588350149,27.75,28.75,94.25,96.0,-219.37286376953125,-344.6185302734375,-3948.711669921875
EVT-2021-097,B00109,12,2021-06-30,wet,18,11166.304706527659,36.78057776746501,84.67671868003146,36.5,37.0,83.5,85.5,15.885624885559082,19.374046325683594,285.9412536621094
EVT-2021-098,B00108,12,2021-06-30,wet,18,11162.20157270179,36.75646822770374,79.69306814709552,36.25,37.0,78.75,81.0,11.239167213439941,19.516944885253906,202.3050079345703
EVT-2021-099,B00123,12,2021-06-30,dry,18,11150.12877658195,36.87239065073993,82.24687746093771,36.75,37.0,80.75,83.75,-5.594350814819336,-10.861556053161621,-100.69831085205078
EVT-2021-100,B00120,12,2021-06-30,wet,15,11111.748644985944,17.017294647745214,85.16242030969154,16.5,17.5,84.5,85.75,89.24541473388672,117.62651062011719,1338.6812744140625
EVT-2021-101,B00124,12,2021-06-30,dry,16,10076.644897750415,35.506051872741885,68.26974297675513,35.0,36.25,68.0,68.75,-11.643519401550293,-20.76435089111328,-186.2963104248047
EVT-2021-102,B00127,12,2021-06-30,dry,14,9124.894709036771,32.68960565413402,96.3864305929184,32.25,33.0,95.75,97.0,-39.71516799926758,-46.1441650390625,-556.0123291015625
EVT-2021-103,B00125,12,2021-06-30,dry,14,8854.885890062249,35.22796726390492,73.94384324404076,34.75,35.5,73.0,75.0,-40.02552032470703,-98.23941040039062,-560.3572998046875
EVT-2021-104,B00117,12,2021-06-30,wet,12,7994.26307845297,30.659968168161665,86.55283022782882,30.25,31.0,86.0,87.25,28.833375930786133,38.731414794921875,346.0005187988281
EVT-2021-105,B00132,12,2021-06-30,dry,11,7744.001720518334,24.62189057859563,79.46750039057127,24.25,25.0,79.0,79.75,-55.465274810791016,-62.208335876464844,-610.1180419921875
EVT-2021-106,B00115,12,2021-06-30,wet,11,7061.048655586951,34.028378690567024,90.01879824064342,33.5,34.5,89.5,90.5,24.531482696533203,31.89008331298828,269.8463134765625
EVT-2021-107,B00112,12,2021-06-30,wet,11,6980.74211714357,34.99358371697805,96.57220837441845,34.75,35.25,96.0,97.25,16.685321807861328,20.49126434326172,183.53854370117188
EVT-2021-108,B00113,12,2021-06-30,wet,10,6390.4776295960455,34.413560910471546,97.756017520298,33.75,34.75,97.25,98.0,23.841190338134766,37.82859802246094,238.4119110107422
EVT-2021-080,B00150,13,2021-07-31,wet,758,557138.1328401963,18.431745177479414,93.95642932516313,9.5,24.5,88.25,98.0,129.5243377685547,370.14202880859375,98179.453125
EVT-2021-079,B00164,13,2021-07-31,dry,670,511377.15556175786,10.248992205581567,70.58289566529803,6.0,15.0,68.0,75.25,-91.90816497802734,-189.15304565429688,-61578.46875
EVT-2021-109,B00168,13,2021-07-31,dry,368,282482.75825773634,7.541825181072509,85.12265837997438,6.0,9.5,80.5,88.5,-61.835853576660156,-122.63314056396484,-22755.59375
EVT-2021-110,B00156,13,2021-07-31,dry,404,274449.46010685916,28.620921228486836,72.52421914792495,25.0,32.75,70.0,76.0,-68.73516082763672,-180.98387145996094,-27769.00390625
EVT-2021-094,B00162,13,2021-07-31,dry,232,169943.56360290828,19.047431773245833,80.67584633624735,17.25,21.25,77.0,85.0,-144.1265869140625,-290.97222900390625,-33437.3671875
EVT-2021-082,B00145,13,2021-07-31,wet,225,154992.01827433793,27.403993875330837,78.87193975989491,23.75,31.75,77.0,82.25,106.86650848388672,301.31866455078125,24044.96484375
EVT-2021-111,B00153,13,2021-07-31,wet,200,149696.85162423982,14.88793904517728,76.79661097245175,13.25,16.5,73.25,80.5,85.35603332519531,184.0,17071.20703125
